Generic Name,Shortage Status,Revision Date,Created Date,NDC Codes
Carbidopa and Levodopa Extended-Release Tablets,Resolved Shortages,"May 26, 2016","Jun 01, 2015",00006-3918-68;00006-3919-68;00378-0088-01;00378-0094-01;16729-0078-01;16729-0078-17;16729-0079-01;16729-0079-17;51079-0923-20;51079-0978-20;62756-0457-88;62756-0461-88
Carbidopa and Levodopa Extended-Release Tablets,Resolved Shortages,"Mar 27, 2020","Sep 28, 2017",00006-3918-68;00006-3919-68;00378-0088-01;00378-0094-01;16729-0079-01;16729-0079-17;51079-0923-20;51079-0978-20;62756-0457-88;62756-0461-88
Carbidopa and Levodopa Orally Disintegrating Tablets,Discontinued Drugs,"Sep 27, 2023","Sep 27, 2023",47335-0187-88;47335-0188-88
Carboplatin Solution for Injection,Resolved Shortages,"Mar 08, 2018","Jun 10, 2015",00703-4239-01;00703-4244-01;00703-4246-01;00703-4248-01;25021-0202-15;25021-0202-45;25021-0202-51;25021-0205-05;61703-0339-18;61703-0339-22;61703-0339-50;61703-0339-56;63323-0172-05;63323-0172-15;63323-0172-45;63323-0172-60;67457-0491-54;67457-0492-15;67457-0493-46;67457-0494-61
Carboplatin Solution for Injection,Current Shortages,"Aug 19, 2025","Mar 28, 2023",00703-4239-01;00703-4244-01;00703-4246-01;00703-4248-01;16729-0295-12;16729-0295-31;16729-0295-33;16729-0295-34;50742-0447-45;54288-0164-01;54288-0165-01;54288-0166-01;54288-0167-01;55150-0335-01;55150-0386-01;60505-6282-06;60505-6282-07;61703-0339-18;61703-0339-22;61703-0339-50;61703-0339-56;63323-0172-60
Cardioplegic Solution for Cardiac Perfusion,Resolved Shortages,"Jul 26, 2016","Jul 20, 2015",00338-0341-04;00409-7969-05
Carisoprodol and Aspirin,Discontinued Drugs,"May 22, 2017","May 22, 2017",00185-0724-01;00185-0724-05;23155-0145-01
Carisoprodol Tablets,Resolved Shortages,"Jul 01, 2022","Apr 25, 2019",00037-2001-01;00037-2250-10;00037-2250-30;00591-5513-01;00591-5513-05;00591-5513-10;50228-0109-01;50228-0109-05;50228-0109-10;61442-0451-01;61442-0451-05;61442-0451-10
Carvedilol Tablets,Resolved Shortages,"Jun 14, 2016","Sep 16, 2015",00007-4139-20;00007-4140-20;00007-4141-20;00007-4142-20;00093-0051-01;00093-0051-05;00093-0135-01;00093-0135-05;00093-7295-01;00093-7295-05;00093-7296-01;00093-7296-05;00378-3631-01;00378-3631-05;00378-3632-01;00378-3632-05;00378-3633-01;00378-3633-05;00378-3633-07;00378-3634-01;00378-3634-05;00781-5221-01;00781-5222-01;00781-5223-01;00781-5224-01;00904-6300-61;00904-6301-61;00904-6302-61;00904-6303-61;43547-0254-10;43547-0254-50;43547-0255-10;43547-0255-50;43547-0256-10;43547-0256-50;43547-0257-10;43547-0257-50;51079-0771-19;51079-0771-20;51079-0930-19;51079-0930-20;51079-0931-19;51079-0931-20;51079-0932-20;57664-0242-13;57664-0242-18;57664-0242-88;57664-0244-13;57664-0244-18;57664-0244-88;57664-0245-13;57664-0245-18;57664-0245-88;57664-0247-13;57664-0247-18;57664-0247-88;65862-0142-01;65862-0142-05;65862-0143-01;65862-0143-05;65862-0144-01;65862-0144-05;65862-0145-01;65862-0145-05;68382-0092-01;68382-0092-05;68382-0093-01;68382-0093-05;68382-0094-01;68382-0094-05;68382-0095-01;68382-0095-05;68462-0162-01;68462-0162-05;68462-0163-01;68462-0163-05;68462-0164-01;68462-0164-05;68462-0165-01;68462-0165-05
Cefazolin Injection,Resolved Shortages,"May 17, 2016","May 28, 2015",00143-9923-90;00143-9924-90;00143-9983-03;00264-3103-11;00264-3105-11;00338-3503-41;00338-3508-41;00409-0805-01;00409-0806-01;00409-2585-01;00781-3450-95;00781-3451-96;00781-3452-95;25021-0100-10;25021-0101-10;25021-0102-99;44567-0706-25;44567-0707-25;44567-0708-10;44567-0709-10;60505-0749-05;60505-0769-00;63323-0236-10;63323-0237-10;63323-0238-61;63323-0446-66;66288-1100-01;66288-1300-01
Cefazolin Injection,Current Shortages,"Jul 22, 2025","Jun 04, 2018",00143-9139-25;00143-9140-25;00143-9923-90;00143-9924-90;00143-9983-03;00264-3103-11;00264-3105-11;00264-3107-11;00338-0096-06;00338-3503-41;00338-3508-41;00409-2585-01;00781-3451-96;00781-3452-95;25021-0100-10;25021-0101-10;25021-0102-99;44567-0706-25;44567-0707-25;44567-0708-10;44567-0840-25;44567-0845-25;60505-6142-05;60505-6143-04;60505-6231-05;60505-6266-05;63323-0236-10;63323-0237-10;63323-0238-61;66288-1100-01;66288-1300-01
Cefdinir Oral Presentations,Current Shortages,"Aug 14, 2025","Jun 29, 2023",00093-3160-06;00093-4136-64;00093-4136-73;00093-4137-64;00093-4137-73;57237-0099-60;67877-0543-60;67877-0547-88;67877-0547-98;67877-0548-88;67877-0548-98;68180-0711-60;68180-0722-04;68180-0722-05;68180-0723-04;68180-0723-05
Cefepime Injection,Resolved Shortages,"Sep 07, 2022","Jun 11, 2015",00264-3193-11;00264-3195-11;00338-1301-41;00338-1301-48;00409-9566-10;00409-9735-10;25021-0121-20;25021-0122-50;44567-0240-10;44567-0241-10;60505-6146-00;60505-6146-04;60505-6147-00;60505-6147-04;63323-0326-20;63323-0340-20;66288-8100-01;66794-0209-41;66794-0210-41;71288-0008-15;71288-0009-20
Cefixime Capsules,Resolved Shortages,"Jan 09, 2024","Jan 21, 2022",67877-0584-33;67877-0584-50;68180-0423-08;68180-0423-11
Cefotaxime Sodium Injection,Current Shortages,"Jul 10, 2025","Jun 10, 2015",00039-0038-05;00039-0039-05;00143-9930-10;00143-9931-25;00143-9933-25;00143-9935-01
Cefotetan Disodium Injection,Resolved Shortages,"May 15, 2017","Jun 25, 2015",00264-3173-11;00264-3175-11;52565-0052-10;52565-0053-10;63323-0385-10;63323-0386-20;63323-0396-61
Cefotetan Disodium Injection,Resolved Shortages,"Nov 15, 2021","Jul 22, 2020",00264-3173-11;00264-3175-11;52565-0053-10;63323-0385-10;63323-0386-20
Cefoxitin Sodium Injection,Resolved Shortages,"May 09, 2021","Nov 08, 2016",00143-9876-10;00143-9877-25;00143-9878-25;00264-3123-11;00264-3125-11;25021-0109-10;25021-0110-20;25021-0111-99;44567-0245-25;44567-0246-25;44567-0247-10;60505-0759-05;60505-0760-05;60505-0761-04;63323-0341-25;63323-0342-25;63323-0343-66
Cefpodoxime,Resolved Shortages,"Sep 27, 2016","Sep 02, 2015",00781-5438-20;00781-5439-01;00781-5439-20;00781-6168-46;00781-6168-52;00781-6169-46;00781-6169-52;65862-0095-20;65862-0096-20;65862-0140-01;65862-0140-50;65862-0141-01;65862-0141-50
Cefpodoxime Oral Suspension,Resolved Shortages,"Oct 02, 2017","Aug 29, 2017",00781-6169-46
Cefpodoxime Oral Suspension,Resolved Shortages,"Nov 19, 2018","Apr 06, 2018",00781-6169-46;16714-0402-01;16714-0402-02;16714-0403-01;63304-0965-03;63304-0965-04;64980-0403-10;64980-0403-50
Ceftazidime Injection,Resolved Shortages,"Feb 24, 2023","Jun 11, 2015",00264-3143-11;00264-3145-11;00409-5082-16;00409-5084-11;00409-5086-11;00409-5092-16;00409-5093-11;25021-0127-20;25021-0128-50;25021-0129-99;44567-0235-25;44567-0236-10;44567-0237-06
Ceftolozane and Tazobactam Injection,Resolved Shortages,"Jan 06, 2022","Dec 21, 2020",67919-0030-01
Ceftriaxone Sodium Injection,Resolved Shortages,"Nov 13, 2019","Jun 22, 2015",00143-9856-25;00143-9857-25;00143-9858-25;00143-9859-25;00264-3153-11;00264-3155-11;00338-5002-41;00338-5003-41;00409-7332-01;00409-7333-04;00409-7334-10;00409-7335-03;00409-7336-04;00409-7337-01;00409-7338-01;00781-3206-95;00781-3207-95;00781-3208-95;00781-3209-95;00781-3210-46;25021-0105-10;25021-0106-10;25021-0107-20;25021-0108-99;44567-0701-25;44567-0702-25;44567-0703-01;60505-6148-04;60505-6149-04;60505-6150-05;60505-6151-01;60505-6151-04;60505-6152-01;60505-6152-04;63323-0344-10;63323-0345-10;63323-0346-10;63323-0347-20;63323-0348-61;66288-6100-01;66794-0211-42;66794-0212-42;66794-0213-42;66794-0214-42;68180-0611-10;68180-0622-10;68180-0633-10;68180-0644-10
Cefuroxime Sodium Injection,Resolved Shortages,"Jun 15, 2020","May 22, 2015",00143-9977-22;00143-9979-22;25021-0118-10;25021-0119-20
Cefuroxime Sodium Injection,Resolved Shortages,"Mar 09, 2023","May 04, 2022",00143-9977-22;00143-9979-22;25021-0118-10;25021-0119-20
Cetirizine Oral Solution,Resolved Shortages,"Jan 11, 2023","Jun 02, 2022",00904-6765-20;45802-0626-26;45802-0974-26;50580-0730-05;69230-0316-11
Chloramphenicol Sodium Succinate Injection,Resolved Shortages,"Jun 15, 2016","Aug 12, 2015",63323-0011-15
Chloramphenicol Sodium Succinate Injection,Current Shortages,"Oct 09, 2023","Oct 09, 2023",63323-0011-15
Chlordiazepoxide Capsules,Resolved Shortages,"Jun 15, 2022","Nov 20, 2019",00555-0033-02;00555-0033-05;00555-0158-02;00555-0158-04;00555-0159-02;00555-0159-04;42806-0562-01;42806-0563-01;42806-0564-01;51079-0141-20;51079-0374-20;51079-0375-20
Chloroprocaine Hydrochloride Injection,Resolved Shortages,"Dec 10, 2018","Aug 16, 2018",00143-9209-10;00143-9210-10;63323-0475-37;63323-0476-37;63323-0477-27;63323-0478-27
Chloroprocaine Hydrochloride Injection,Resolved Shortages,"Apr 10, 2023","Dec 15, 2020",00143-9209-10;00143-9210-10;63323-0475-37;63323-0476-37;63323-0477-27;63323-0478-27
Chloroquine Phosphate Tablets,Resolved Shortages,"Feb 06, 2017","Dec 08, 2016",64980-0177-50;64980-0178-02
Chloroquine Phosphate Tablets,Resolved Shortages,"Jul 14, 2021","Mar 09, 2020",63304-0460-50;64980-0177-50;64980-0178-02
Chloroquine Tablets,Resolved Shortages,"Jun 17, 2016","May 27, 2015",00143-2125-22;63304-0460-50;63304-0461-26;64980-0177-50;64980-0178-02
Chlorothiazide Oral Suspension,Resolved Shortages,"Jan 05, 2017","May 08, 2015",65649-0311-12
Chlorothiazide Oral Suspension,Resolved Shortages,"Dec 28, 2020","Jul 01, 2020",65649-0311-12
Chlorothiazide Oral Suspension,Resolved Shortages,"Mar 09, 2023","Dec 14, 2022",65649-0311-12
Chlorothiazide Oral Tablets and Suspension,Resolved Shortages,"Dec 23, 2019","Nov 04, 2019",00143-1210-01;00143-1210-10;00378-0150-01;00378-0162-01;65649-0311-12
Chlorothiazide Sodium Injection,Resolved Shortages,"Oct 23, 2018","Dec 11, 2017",00517-1820-01;17478-0419-40;25021-0305-20;47335-0330-40;63323-0658-20;67457-0263-30;76478-0711-40
Chlorothiazide Sodium Injection,Resolved Shortages,"Aug 10, 2021","Mar 06, 2020",00517-1820-01;17478-0419-40;25021-0305-20;47335-0330-40;63323-0658-20;76478-0711-40
Chlorothiazide Sodium Injection,Resolved Shortages,"Nov 29, 2023","Jun 14, 2022",00517-1820-01;25021-0305-20;47335-0330-40;63323-0658-20
Chlorothiazide Sodium Injection,Current Shortages,"Aug 18, 2025","Mar 12, 2025",00517-1820-01;25021-0305-20;47335-0330-40;63323-0658-20
Chlorpromazine Injection,Resolved Shortages,"Aug 23, 2016","Jul 01, 2015",00641-1397-35;00641-1398-35
Chorionic Gonadotropin (Human) for Injection,Resolved Shortages,"Nov 25, 2019","Jul 13, 2015",00052-0315-10;55566-1501-01;63323-0025-10
Chromic Chloride Injection,Resolved Shortages,"Mar 02, 2025","Aug 28, 2024",00409-4093-01
Cidofovir Injection,Resolved Shortages,"Jul 17, 2019","Oct 26, 2018",23155-0216-31;67457-0210-05
Cidofovir Injection,Resolved Shortages,"Aug 10, 2021","Aug 04, 2021",23155-0216-31;67457-0210-05
Cidofovir Injection,Resolved Shortages,"Jun 03, 2025","Sep 19, 2024",23155-0216-31;67457-0210-05
Cimetidine Oral Solution,Resolved Shortages,"Jun 20, 2025","May 24, 2023",50383-0050-08;62135-0809-24;62135-0809-37
Ciprofloxacin Injection,Resolved Shortages,"Aug 27, 2019","Feb 14, 2018",00409-4777-02;00409-4777-23;25021-0114-87;36000-0008-24;36000-0009-24
Ciprofloxacin Injection,Resolved Shortages,"Jul 22, 2025","Jan 13, 2023",00409-2300-24;00409-3300-24;25021-0192-82;25021-0192-87
Ciprofloxacin Ophthalmic Solution,Resolved Shortages,"Mar 22, 2023","Jul 17, 2018",17478-0714-10;17478-0714-25;61314-0656-05;61314-0656-10;61314-0656-25
Ciprofloxacin Oral Suspension,Resolved Shortages,"Nov 25, 2019","Aug 24, 2016",50419-0773-01;50419-0777-01;68180-0392-01;68180-0393-01
Cisatracurium Besylate Injection,Resolved Shortages,"Sep 09, 2016","Apr 14, 2016",00074-4378-05;00074-4380-10;00074-4382-20;00781-3150-95;00781-3152-95;00781-3153-95;63323-0416-05;63323-0417-10;63323-0418-20
Cisatracurium Besylate Injection,Resolved Shortages,"Aug 11, 2022","Apr 03, 2020",00074-4378-05;00074-4380-10;00074-4382-20;00409-1098-02;00409-1103-01;00409-1208-01;00703-2033-03;00703-2045-03;00703-2056-03;00781-3150-95;00781-3152-95;00781-3153-95;55150-0284-10;55150-0286-10;63323-0416-05;63323-0417-10;63323-0418-20;70069-0141-10;70069-0151-10;70069-0161-10;71288-0712-06;71288-0713-21;71288-0714-11
Cisplatin Injection,Resolved Shortages,"Dec 18, 2018","Jun 25, 2015",00703-5747-11;00703-5748-11;16729-0288-11;16729-0288-38;44567-0509-01;44567-0510-01;44567-0511-01;47781-0609-25;47781-0610-23;63323-0103-51;63323-0103-64;63323-0103-65;67457-0424-10;67457-0425-51;70860-0206-50;70860-0206-51
Cisplatin Injection,Current Shortages,"Aug 05, 2025","Jan 10, 2023",00143-9504-01;00143-9505-01;00703-5747-11;00703-5748-11;16729-0288-11;16729-0288-38;25021-0253-50;25021-0253-51;44567-0511-01;44567-0530-01;63323-0103-51;63323-0103-64;63323-0103-65
Clindamycin Phosphate Injection,Current Shortages,"Aug 05, 2025","Jun 25, 2015",00009-0728-09;00009-0775-26;00009-0870-26;00009-0902-18;00143-9267-01;00143-9268-01;00143-9269-01;00338-3410-24;00338-3612-24;00338-3814-24;00338-9545-24;00338-9549-24;00338-9553-24;00781-3288-09;00781-3289-09;00781-3290-09;25021-0115-02;25021-0115-04;25021-0115-06;25021-0115-51
Clomiphene Citrate Tablets,Resolved Shortages,"Nov 09, 2022","Feb 28, 2019",00713-0885-09;00713-0885-30;49884-0701-54;49884-0701-55
Clonazepam Oral Tablets,Current Shortages,"Aug 06, 2025","Apr 10, 2023",00093-0832-01;00093-0832-05;00093-3212-01;00093-3213-01;00093-3213-05;16729-0136-00;16729-0136-16;16729-0137-00;16729-0137-16;16729-0138-00;16729-0138-16;43547-0406-10;43547-0406-11;43547-0406-50;43547-0407-10;43547-0407-11;43547-0407-50;43547-0408-10;43547-0408-50;61269-0605-10;61269-0610-10;61269-0620-10;62135-0769-90;62135-0770-90;62135-0771-90
Clonidine Extended-Release Tablets,Resolved Shortages,"Mar 27, 2018","Jan 12, 2018",59212-0658-60
Clonidine Hydrochloride Injection,Resolved Shortages,"Sep 16, 2019","Apr 09, 2019",00143-9723-01;00143-9724-01;39822-2000-01;39822-2010-01;67457-0218-10
Clotrimazole Lozenges (Clotrimazole Troches),Resolved Shortages,"May 18, 2023","Mar 05, 2019",00054-4146-22;00054-4146-23;00054-8146-22;00574-0107-14;00574-0107-70;00574-0107-77
Cocaine Hydrochloride 4% Nasal Solution,Resolved Shortages,"Oct 06, 2024","Jan 17, 2024",64950-0362-04;70839-0362-04;81665-0301-02
Colestipol Hydrochloride Granules for Oral Suspension,Resolved Shortages,"Mar 22, 2024","Mar 21, 2024",00009-0260-01;00009-0260-02;00009-0260-04;00009-0370-03;00009-0370-05;59762-0260-01;59762-0260-02;59762-0260-03
Colestipol Oral Tablets,Resolved Shortages,"Dec 12, 2022","Dec 18, 2020",00009-0450-03;00115-5211-16;59762-0450-01
Collagenase Ointment,Resolved Shortages,"Oct 02, 2024","Aug 23, 2023",50484-0010-30;50484-0010-90
Conivaptan Hydrochloride Injection,Discontinued Drugs,"Aug 14, 2024","Feb 23, 2022",66220-0160-10
Conjugated Estrogens and Bazedoxifene,Resolved Shortages,"May 19, 2023","Mar 16, 2021",00008-1123-12
Conjugated Estrogens Cream,Resolved Shortages,"Aug 05, 2021","May 21, 2021",00046-0872-21
Conjugated Estrogens Injection,Current Shortages,"Aug 08, 2025","May 21, 2025",00046-0749-05
Copper Chloride Injection,Resolved Shortages,"Nov 25, 2019","Apr 08, 2019",00409-4092-01
Copper Chloride Injection,Resolved Shortages,"Jan 25, 2024","Sep 08, 2023",00409-4092-01
Corticorelin Ovine Triflutate Injection,Resolved Shortages,"Aug 15, 2022","Nov 02, 2020",55566-0302-01
Cortisone Tablets,Discontinued Drugs,"Apr 08, 2022","Apr 07, 2022",00143-9700-01
Cosyntropin Injection,Resolved Shortages,"Jan 03, 2024","Jan 22, 2019",00548-5900-00;00781-3440-95;67457-0227-02
Cromolyn Oral Solution,Current Shortages,"Aug 18, 2025","Oct 19, 2023",00037-0678-96;16571-0600-96;42571-0132-52;51525-0470-09;69784-0200-96;76204-0025-96
Cyclopentolate and Phenylephrine Ophthalmic Solution,Resolved Shortages,"Oct 17, 2016","Oct 21, 2015",00065-0359-02;00065-0359-05
Cyclopentolate and Phenylephrine Ophthalmic Solution,Resolved Shortages,"Feb 11, 2022","Dec 14, 2021",00065-0359-02;00065-0359-05
Cyclopentolate and Phenylephrine Ophthalmic Solution,Resolved Shortages,"Jan 13, 2023","Feb 23, 2022",00065-0359-02;00065-0359-05
Cyclopentolate and Phenylephrine Ophthalmic Solution,Resolved Shortages,"Apr 30, 2024","Feb 22, 2024",00065-0359-02;00065-0359-05
Cyclopentolate Hydrochloride Ophthalmic Solution,Resolved Shortages,"Oct 17, 2024","Jul 09, 2020",00065-0395-15;00065-0396-02;00065-0396-05;00065-0397-02;00065-0397-05;00065-0397-15;24208-0735-01;24208-0735-06;61314-0396-01;61314-0396-03
Cyclosporine Capsules,Resolved Shortages,"Nov 22, 2019","Sep 27, 2018",00074-6463-32;00074-6479-32;00078-0240-15;00078-0241-15;00078-0246-15;00078-0248-15;00093-5740-65;00093-5741-65;00093-5742-65;00185-0932-30;00185-0933-30;51862-0458-47;51862-0460-47;60505-0133-00;60505-0134-00
Cyclosporine Injection,Resolved Shortages,"Aug 04, 2023","Feb 20, 2019",00078-0109-01;00517-0866-10
Cyclosporine Oral Solution,Resolved Shortages,"Jun 04, 2021","Sep 24, 2019",00074-7269-50;00078-0110-22;00078-0274-22;00172-7313-20;00591-2224-55
Cyclosporine Oral Solution,Resolved Shortages,"Aug 15, 2024","Dec 06, 2023",00074-7269-50;00078-0110-22;00078-0274-22;00172-7313-20
Cytarabine Injection,Resolved Shortages,"Oct 19, 2016","Jul 29, 2015",00069-0152-02;61703-0303-46;61703-0304-36;61703-0305-38;61703-0319-22;63323-0120-20;67457-0452-20;67457-0454-50
Cytarabine Injection,Resolved Shortages,"Mar 29, 2023","Nov 01, 2021",61703-0303-46;61703-0304-36;61703-0305-38;61703-0319-22;63323-0120-20;71288-0109-20
Cytarabine Liposomal Injection,Discontinued Drugs,"Dec 19, 2017","Dec 19, 2017",57665-0331-01
Dacarbazine Injection,Resolved Shortages,"May 01, 2025","Jul 23, 2021",55390-0090-10;63323-0127-10;63323-0128-20;71288-0174-21
Dalbavancin Injection,Resolved Shortages,"Jun 21, 2018","Feb 20, 2018",57970-0100-01
Dalbavancin Injection,Resolved Shortages,"Dec 17, 2018","Sep 28, 2018",57970-0100-01
Dalbavancin Injection,Resolved Shortages,"Mar 09, 2023","Nov 03, 2022",57970-0100-01
Dalfopristin and Quinupristin Injection,Resolved Shortages,"Mar 23, 2020","Jan 10, 2020",61570-0260-10
Dalfopristin and Quinupristin Injection,Discontinued Drugs,"Sep 26, 2022","Apr 08, 2022",61570-0260-10
Dantrolene Sodium Injection,Resolved Shortages,"Dec 20, 2023","Feb 08, 2022",00153-9297-01;42023-0123-06;42367-0540-32;78670-0003-67
Dantrolene Sodium Injection,Resolved Shortages,"Nov 01, 2024","Jun 05, 2024",00143-9297-01;42023-0123-06;42367-0540-32;78670-0003-67
"Daptacel - Diphtheria, Tetanus Toxoid, and Acellular Pertussis Vaccine (DTaP)",Resolved Shortages,"Dec 19, 2016","Feb 17, 2016",49281-0286-10;58160-0810-11;58160-0810-52
Daptomycin Injection,Resolved Shortages,"Aug 29, 2022","Sep 07, 2018",00409-0106-01;00703-0125-01;25021-0179-15;25021-0179-16;43598-0413-11;63323-0371-10;63323-0871-15;67457-0813-50;67919-0011-01;67919-0012-01;70594-0034-01;70594-0053-01;71839-0107-01
Daunorubicin Hydrochloride Injection,Resolved Shortages,"May 26, 2016","May 06, 2015",00703-5233-13
Decitabine Injection,Current Shortages,"Aug 19, 2025","Aug 02, 2023",00143-9385-01;16729-0224-05;25021-0219-20;31722-0304-31;55111-0556-10;55150-0376-01;67457-0316-25;71288-0119-20;72205-0031-01
Deferoxamine Injection,Resolved Shortages,"Aug 16, 2021","Feb 07, 2018",00078-0467-91;00409-2336-10;00409-2337-25;47781-0624-07;52609-4504-06;52609-4505-06;63323-0597-10;63323-0599-30
Deferoxamine Injection,Resolved Shortages,"Aug 15, 2024","May 07, 2024",00078-0467-91;00409-2337-25;60505-6236-06;60505-6237-06;63323-0597-10;63323-0599-30
Deferoxamine mesylate injection,Resolved Shortages,"May 17, 2016","May 06, 2015",00078-0347-51;00078-0467-91;00409-2336-10;00409-2337-25;63323-0597-10;63323-0599-30
Degarelix Acetate Injection,Resolved Shortages,"Aug 19, 2019","May 01, 2019",55566-8303-01;55566-8403-01
Desiccated Thyroid Tablets,Resolved Shortages,"Feb 19, 2020","Sep 28, 2017",00456-0457-01;00456-0458-63;00456-0459-63;00456-0460-01;00456-0461-63;00456-0462-01;00456-0463-01;00456-0464-01;42192-0329-01;42192-0330-01;42192-0331-01;64727-3299-01;64727-3299-02;64727-3300-01;64727-3300-02;64727-3302-01;64727-3302-02;64727-3305-01;64727-3305-02;64727-3308-01;64727-3308-02;64727-5550-01;64727-5650-01;64727-5750-01;64727-5950-01
Desiccated Thyroid Tablets,Current Shortages,"Jun 17, 2025","Sep 22, 2020",00456-0458-01;00456-0459-01;00456-0460-01;00456-0461-01;00456-0462-01;00456-0463-01;00456-0464-01;00456-1045-01;42192-0327-01;42192-0328-01;42192-0329-01;42192-0330-01;42192-0331-01;64727-3298-01;64727-3298-02;64727-3299-01;64727-3299-02;64727-3300-01;64727-3300-02;64727-3302-01;64727-3302-02;64727-3305-01;64727-3305-02;64727-3308-01;64727-3308-02;64727-3312-01;64727-3312-02;64727-3320-01;64727-3320-02;64727-3340-01;64727-3340-02;64727-5550-01;64727-5650-01;64727-5750-01;64727-5950-01
Desmopressin Acetate Nasal Spray,Current Shortages,"Jul 10, 2025","Aug 13, 2020",00053-6871-00;24208-0342-05;47335-0788-91;55566-2500-00;60505-0815-00;68382-0384-01;69918-0501-05
Desmopressin Injection,Resolved Shortages,"Nov 07, 2016","Jun 18, 2015",00075-2451-01;00075-2451-53;00409-2265-01;00703-5051-03;00703-5054-01;55566-2200-00;55566-2300-00;55566-5030-01;55566-5040-01;62756-0529-40;69918-0899-10;69918-0901-10
Desmopressin Rhinal Tubes,Discontinued Drugs,"May 24, 2021","Nov 17, 2020",55566-2400-00
Dexamethasone 0.1% Ophthalmic Drops,Resolved Shortages,"May 17, 2016","Sep 01, 2015",00998-0615-05;24208-0720-02
Dexamethasone Oral Solution/Elixir,Current Shortages,"Aug 18, 2025","Apr 16, 2025",00054-3176-44;00054-3177-57;00054-3177-63;62135-0114-37;64980-0509-24
Dexamethasone Sodium Phosphate Injection,Current Shortages,"Aug 18, 2025","Aug 06, 2015",00641-0367-25;00641-6145-25;00641-6146-10;25021-0052-01;25021-0052-05;25021-0053-01;55150-0237-01;55150-0238-05;55150-0239-30;55150-0304-25;55150-0305-10;63323-0165-01;63323-0165-05;63323-0165-30;63323-0506-01;63323-0516-10;67457-0420-10;67457-0421-30;67457-0422-54;67457-0423-12;70069-0021-25;70069-0025-10;72485-0118-25;76045-0106-10;76045-0109-10;76045-0210-10;76045-0212-10
Dexmedetomidine Hydrochloride 100 mcg/mL Vials for Injection,Resolved Shortages,"Mar 15, 2022","Nov 07, 2018",00143-9532-25;00409-1638-02;16729-0239-93;42023-0146-25;44567-0600-04;44567-0601-04;55150-0209-02;63323-0421-02;66794-0233-02;67457-0251-02;70860-0605-03;71288-0505-03
Dexmedetomidine Hydrochloride 100 mcg/mL Vials for Injection,Current Shortages,"Aug 12, 2025","Jul 03, 2024",00143-9532-25;00409-1638-02;16729-0239-93;42023-0146-25;44567-0600-04;44567-0601-04;55150-0209-02;63323-0421-02;66794-0233-02;67457-0251-02;70069-0758-04;70069-0759-04;71288-0505-03;83634-0600-02
Dexmedetomidine Hydrochloride 4 mcg/mL Premix for Injection,Resolved Shortages,"Aug 20, 2019","Feb 15, 2018",00338-9555-24;00338-9557-12;00409-1660-10;00409-1660-20;00409-1660-50;44567-0602-24;44567-0603-24
Dexmedetomidine Hydrochloride 4 mcg/mL Premix for Injection,Resolved Shortages,"May 26, 2021","Apr 06, 2020",00338-9555-24;00338-9557-12;00409-1434-01;00409-1660-10;00409-1660-20;00409-1660-50;43598-0975-58;43598-0976-58;44567-0602-24;44567-0603-24;63323-0671-00;63323-0671-20;63323-0671-50;70121-1388-08;70121-1389-07;71225-0126-05;71225-0126-06
Dexmedetomidine Hydrochloride 4 mcg/mL Premix for Injection,Current Shortages,"Aug 12, 2025","Jun 02, 2025",00143-9525-10;00143-9526-10;00338-9555-24;00338-9557-12;00409-1434-01;00409-1596-10;00409-1660-20;00409-1660-50;25021-0615-50;25021-0615-51;43598-0975-58;43598-0976-58;44567-0602-24;44567-0603-24;55150-0296-10;55150-0297-10;63323-0671-00;63323-0671-20;63323-0671-50;66794-0234-44;66794-0235-41;70121-1388-08;70121-1389-07;70121-1711-09;70121-1712-02;71225-0132-02;71225-0133-02
Dexmedetomidine Hydrochloride in 0.9% Sodium Chloride Injection,Resolved Shortages,"Sep 19, 2017","Feb 22, 2017",00409-1660-10;00409-1660-20;00409-1660-50
Dexmethylphenidate Extended Release Capsules,Current Shortages,"Aug 07, 2025","May 26, 2023",00078-0433-05;00078-0609-05;00093-5045-01;00093-5046-01;00093-5550-01;00093-5551-01;00093-5552-01;00093-5553-01;00093-5554-01;00093-5562-01;00115-1709-01;00115-1710-01;00115-9918-01;00115-9919-01;00115-9920-01;00115-9921-01;00115-9922-01;00527-8106-37;00527-8107-37;00527-8108-37;00527-8109-37;00527-8110-37;00527-8111-37;00527-8112-37;00527-8113-37;31722-0229-01;31722-0230-01;31722-0231-01;31722-0232-01;31722-0233-01;31722-0234-01;31722-0235-01;31722-0236-01;49884-0048-01;49884-0049-01;49884-0248-01;49884-0333-01;49884-0339-01;49884-0428-01;49884-0430-01;49884-0546-01;66758-0235-01;66758-0236-01;66758-0237-01;66758-0238-01;66758-0239-01;66758-0242-01
Dexpanthenol Injection,Discontinued Drugs,"Sep 24, 2018","Jun 11, 2015",00517-0131-25
Dexrazoxane Hydrochloride Injection,Resolved Shortages,"Dec 05, 2024","Feb 13, 2024",00143-9247-01;00143-9248-01;55150-0434-01;55150-0437-01;72266-0101-01;72266-0235-01;72611-0716-01
Dexrazoxane Injection,Resolved Shortages,"Aug 13, 2020","Jul 01, 2015",00013-8717-62;00013-8727-89;00143-9247-01;00143-9248-01;66220-0110-01;67457-0207-25;67457-0208-50;72266-0101-01
