Generic Name,Shortage Status,Revision Date,Created Date,NDC Codes
2% Lidocaine Hydrochloride Topical Jelly,Resolved Shortages,"Sep 26, 2023","Jun 10, 2022",17478-0711-30;17478-0711-31;25021-0673-76;25021-0673-77;76329-3011-05;76329-3012-05;76329-3013-05;76329-3015-05
23.4% Sodium Chloride Concentrated Solution for Injection,Resolved Shortages,"Jan 13, 2017","Jul 14, 2015",00409-1130-02;00409-1141-02;63323-0088-61;63323-0088-63;63323-0187-30
23.4% Sodium Chloride Injection,Resolved Shortages,"Sep 22, 2024","Jul 10, 2017",00409-1141-02;63323-0093-30;63323-0095-61;63323-0099-63
23.4% Sodium Chloride Injection,Resolved Shortages,"May 18, 2025","Oct 26, 2024",00409-1141-02;63323-0093-30;63323-0095-61;63323-0099-63
25% Dextrose Injection,Resolved Shortages,"Jan 24, 2017","Sep 04, 2015",00409-1775-10
25% Dextrose Injection,Resolved Shortages,"May 10, 2018","May 18, 2017",00409-1775-10
25% Dextrose Injection,Resolved Shortages,"Oct 18, 2020","Oct 19, 2018",00409-1775-10
25% Dextrose Injection,Resolved Shortages,"Dec 04, 2024","Oct 18, 2021",00409-1775-10
3% and 5% Sodium Chloride Large Volume Injection,Resolved Shortages,"Dec 12, 2022","Apr 19, 2018",00264-7805-10;00264-7806-10;00338-0054-03;00338-0056-03;63323-0530-75
5% Dextrose Injection,Resolved Shortages,"Mar 20, 2019","Mar 21, 2017",00338-0017-02;00338-0017-03;00338-0017-04;00409-7100-02;00409-7922-02;00409-7922-03;00409-7922-09;00409-7922-53;00409-7922-55
5% Dextrose Injection (PVC-free and DEHP-free),Resolved Shortages,"Dec 18, 2020","May 04, 2017",00264-7510-00;00264-7510-10;00264-7510-20;00338-0062-30;00338-0066-20;00409-7922-25;00409-7923-06;00409-7923-11;17271-0720-03;17271-0720-05;17271-0720-06;17271-0720-07;63323-0624-10;63323-0624-61;63323-0624-74;63323-0624-75
5% Dextrose Injection (PVC-free and DEHP-free),Resolved Shortages,"May 07, 2024","Feb 04, 2022",00264-7510-00;00264-7510-10;00264-7510-20;00338-0062-30;00338-0066-20;00338-0070-10;17271-0720-03;17271-0720-05;17271-0720-06;17271-0720-07;63323-0624-10;63323-0624-50;63323-0624-61;63323-0624-74;63323-0624-75
5% Dextrose Injection (PVC-free and DEHP-free),Current Shortages,"Jul 29, 2025","Oct 04, 2024",00264-7510-00;00264-7510-10;00264-7510-20;00338-0062-30;00338-0066-20;00338-0070-10;17271-0720-03;17271-0720-05;17271-0720-06;17271-0720-07;63323-0624-10;63323-0624-50;63323-0624-61;63323-0624-74;63323-0624-75
5% Dextrose Injection Large Volume Bags,Resolved Shortages,"Jul 26, 2016","Jul 22, 2015",00264-7510-00;00264-7510-10;00264-7510-20;00338-0017-02;00338-0017-03;00338-0017-04;00338-6346-02;00338-6346-03;00409-7100-02;00409-7922-02;00409-7922-03;00409-7922-09;00409-7922-25;00409-7922-53;00409-7922-55
5% Dextrose Injection Large Volume Bags,Resolved Shortages,"Aug 30, 2022","Feb 04, 2022",00338-0017-02;00338-0017-03;00338-0017-04;00409-7100-02;00409-7922-02;00409-7922-03;00409-7922-09;00409-7922-55;65219-0238-01;65219-0240-01
5% Dextrose Injection Large Volume Bags,Resolved Shortages,"Jun 10, 2025","Oct 04, 2024",00338-0017-02;00338-0017-03;00338-0017-04;00409-7100-02;00409-7922-02;00409-7922-03;00409-7922-09;00409-7922-55;65219-0238-01;65219-0240-01
5% Dextrose Injection Small Volume Bags,Current Shortages,"Aug 18, 2025","Feb 04, 2022",00264-1510-31;00264-1510-32;00338-0551-11;00338-0551-18;00338-9143-30;00338-9147-30;00409-7100-66;00409-7100-67;00990-7922-61;00990-7923-13;00990-7923-20;00990-7923-23;00990-7923-36;00990-7923-37;65219-0234-10;65219-0236-10
5% Lidocaine and 7.5% Dextrose Injection,Discontinued Drugs,"Jun 13, 2022","Aug 03, 2016",00409-4712-01
50% Dextrose Injection,Resolved Shortages,"Nov 07, 2016","Jun 10, 2015",00409-4902-34;00409-6648-02;00409-7517-16;76329-3301-01
50% Dextrose Injection,Resolved Shortages,"Apr 08, 2021","Apr 20, 2017",00409-4902-34;00409-6648-02;00409-7517-16;76329-3301-01
50% Dextrose Injection,Current Shortages,"Aug 18, 2025","Dec 12, 2021",00409-4902-34;00409-6648-02;00409-7517-16;76329-3302-01
70% Dextrose Injection Large Volume Bags,Resolved Shortages,"Nov 09, 2016","Aug 04, 2015",00264-1290-55;00264-7387-50;00338-0719-06;00409-7120-07;00409-7918-19
70% Dextrose Injection Large Volume Bags,Resolved Shortages,"Sep 29, 2017","Mar 09, 2017",00264-7387-50;00338-0719-06;00409-7120-07;00409-7918-19
70% Dextrose Injection Large Volume Bags,Resolved Shortages,"Jul 29, 2025","Jul 13, 2022",00264-7387-50;00338-0719-06;00990-7120-07;00990-7918-19
Abciximab Injection,Discontinued Drugs,"Apr 29, 2019","Apr 16, 2018",57894-0200-01
Acamprosate Calcium Tablets,Resolved Shortages,"May 26, 2016","Jul 09, 2015",00378-6333-80;51079-0241-06;68462-0435-18
Acamprosate Calcium Tablets,Current Shortages,"Aug 03, 2025","Sep 30, 2024",00378-6333-80;68382-0569-28;68462-0435-18
Acetaminophen and Codeine Phosphate 300 mg/30 mg Tablets,Resolved Shortages,"May 26, 2016","Jun 18, 2015",00093-0150-01;00093-0150-10;00406-0484-01;00406-0484-03;00406-0484-10;00406-0484-62;13107-0059-99;13170-0059-01;50458-0513-60;50458-0513-80;51079-0161-20;51079-0161-21;65162-0033-10;65162-0033-11
Acetaminophen Injection,Current Shortages,"Aug 18, 2025","Mar 12, 2025",00142-9386-10;00264-4050-80;00264-4100-90;00781-3156-95;24201-0100-24;36000-0306-60;36000-0372-40;55150-0307-24;63323-0434-00;67457-0940-10
Acetaminophen Suppositories,Resolved Shortages,"Apr 05, 2023","Sep 01, 2022",45802-0730-30;45802-0730-32;45802-0730-33;45802-0732-30;45802-0732-33;51672-2114-02;51672-2115-02;51672-2116-02
Acetazolamide Injection,Resolved Shortages,"Jun 08, 2017","Jun 25, 2015",00143-9503-01;25021-0817-10;39822-0190-01
Acetazolamide Injection,Resolved Shortages,"Jun 02, 2021","Feb 11, 2019",00143-9503-01;39822-0190-01;67457-0853-50
Acetazolamide Injection,Resolved Shortages,"Feb 13, 2024","Oct 19, 2022",00143-9503-01;23155-0831-31;39822-0190-01;67457-0853-50
